file_name,hr_file_size,hr_width,hr_height,wr_file_size,wr_width,wr_height
abr0020_t.jpg,197.1 KB,723,870,93.2 KB,415,500
abr0021_t.jpg,238.3 KB,595,861,109.4 KB,345,500
abr0022_t.jpg,239.4 KB,706,862,106.5 KB,409,500
abr0023_t.jpg,274.6 KB,867,607,126.2 KB,500,350
abr0024_t.jpg,266.6 KB,662,861,113.8 KB,384,500
abr0025_t.jpg,302.1 KB,864,618,125.4 KB,500,357
abs0001_s.jpg,11.7 MB,6000,5134,178.4 KB,500,427
abs0002_s.jpg,5.4 MB,7319,4500,79.7 KB,500,307
abs0003_s.jpg,6.9 MB,5597,6024,130.1 KB,464,500
abs0004_s.jpg,6.8 MB,6571,6000,92.6 KB,500,456
abs0005_s.jpg,4.8 MB,4482,6122,95.9 KB,366,500
abs0006_s.jpg,5.1 MB,6000,5478,109.2 KB,500,456
abs0007_s.jpg,3.8 MB,4489,6559,81.8 KB,342,500
abs0008_s.jpg,7.1 MB,6000,5099,122.9 KB,500,424
abs0009_s.jpg,7.3 MB,4500,7023,107.2 KB,320,500
abs0010_s.jpg,8.0 MB,5374,7007,99.1 KB,383,500
abs0011_s.jpg,11.2 MB,4515,8258,94.4 KB,273,500
aca0001_h.jpg,3.3 MB,6620,4500,104.2 KB,500,339
aca0002_h.jpg,3.2 MB,5601,6000,114.8 KB,466,500
aca0003_h.jpg,2.7 MB,4500,8933,60.1 KB,251,500
aca0004_h.jpg,4.2 MB,6000,4737,126.9 KB,500,394
aca0005_h.jpg,2.5 MB,5804,6000,98.5 KB,483,500
aca0006_h.jpg,4.2 MB,7888,4500,109.5 KB,500,285
aca0007_h.jpg,4.4 MB,6000,5931,177.0 KB,500,494
aca0008_h.jpg,4.0 MB,5369,6000,122.5 KB,447,500
aca0009_h.jpg,3.3 MB,5136,6000,128.9 KB,428,500
aca0010_h.jpg,2.9 MB,6000,4567,117.0 KB,500,380
aca0011_h.jpg,4.3 MB,8419,4500,98.1 KB,500,267
aca0012_h.jpg,3.9 MB,5210,6000,132.7 KB,434,500
aca0013_h.jpg,3.7 MB,5944,6000,117.7 KB,495,500
aca0014_h.jpg,3.3 MB,7196,4500,83.4 KB,500,312
ach0001_h.jpg,2.3 MB,3600,2700,66.9 KB,500,375
ach0002_h.jpg,5.6 MB,2700,3600,179.6 KB,375,500
ach0003_h.jpg,2.2 MB,3600,2700,86.7 KB,500,375
ach0004_h.jpg,4.0 MB,2700,3600,109.6 KB,375,500
ach0005_h.jpg,5.0 MB,3600,2700,118.5 KB,500,375
