Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
flag-of-portugal,Flag of Portugal,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0062-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0062_h.jpg?v=1526416075,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-portugal,,,,,,,,Web-Res .jpg,,,,,ZWI0062-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-poland,Flag of Poland,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0061-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0061_h.jpg?v=1526416074,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-poland,,,,,,,,Web-Res .jpg,,,,,ZWI0061-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-philippines,Flag of Philippines,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0060-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0060_h.jpg?v=1526416072,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-philippines,,,,,,,,Web-Res .jpg,,,,,ZWI0060-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-peru,Flag of Peru,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0059-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0059_h.jpg?v=1526416071,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-peru,,,,,,,,Web-Res .jpg,,,,,ZWI0059-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-paraguay,Flag of Paraguay,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0058-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0058_h.jpg?v=1526416070,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-paraguay,,,,,,,,Web-Res .jpg,,,,,ZWI0058-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-panama,Drawing of the flag of Panama,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0057-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0057_h.jpg?v=1526416068,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-panama,,,,,,,,Web-Res .jpg,,,,,ZWI0057-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-pakistan,Drawing of the flag of Pakistan,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0056-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0056_h.jpg?v=1526416067,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-pakistan,,,,,,,,Web-Res .jpg,,,,,ZWI0056-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-iceland,Drawing of the flag of Iceland,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0055-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0055_h.jpg?v=1526416066,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-iceland,,,,,,,,Web-Res .jpg,,,,,ZWI0055-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-nigeria,Drawing of the flag of Nigeria,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0054-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0054_h.jpg?v=1526416065,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-nigeria,,,,,,,,Web-Res .jpg,,,,,ZWI0054-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-nicaragua,Drawing of the flag of Nicaragua,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0053-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0053_h.jpg?v=1526416063,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-nicaragua,,,,,,,,Web-Res .jpg,,,,,ZWI0053-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-new-zealand,Drawing of the flag of New Zealand,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0052-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0052_h.jpg?v=1526416062,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-new-zealand,,,,,,,,Web-Res .jpg,,,,,ZWI0052-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-luxembourg,Drawing of the flag of Luxembourg,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0051-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0051_h.jpg?v=1526416061,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-luxembourg,,,,,,,,Web-Res .jpg,,,,,ZWI0051-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-namibia,Drawing of the flag of Namibia,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0050-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0050_h.jpg?v=1526416060,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-namibia,,,,,,,,Web-Res .jpg,,,,,ZWI0050-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-mozambique,Drawing of the flag of Mozambique,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0049-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0049_h.jpg?v=1526416058,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-mozambique,,,,,,,,Web-Res .jpg,,,,,ZWI0049-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-vietnam,Drawing of the flag of Vietnam,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0048-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0048_h.jpg?v=1526416057,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-vietnam,,,,,,,,Web-Res .jpg,,,,,ZWI0048-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-morocco,Drawing of the flag of Morocco,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0047-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0047_h.jpg?v=1526416056,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-morocco,,,,,,,,Web-Res .jpg,,,,,ZWI0047-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-mexico,Drawing of the flag of Mexico,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0046-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0046_h.jpg?v=1526416054,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-mexico,,,,,,,,Web-Res .jpg,,,,,ZWI0046-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-malaysia,Drawing of the flag of Malaysia,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0045-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0045_h.jpg?v=1526416053,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-malaysia,,,,,,,,Web-Res .jpg,,,,,ZWI0045-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-kuwait,Drawing of the flag of Kuwait,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0044-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0044_h.jpg?v=1526416052,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-kuwait,,,,,,,,Web-Res .jpg,,,,,ZWI0044-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-south-korea,Drawing of the flag of South Korea,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0043-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0043_h.jpg?v=1526416050,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-south-korea,,,,,,,,Web-Res .jpg,,,,,ZWI0043-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-north-korea,Drawing of the flag of North Korea,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0042-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0042_h.jpg?v=1526416049,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-north-korea,,,,,,,,Web-Res .jpg,,,,,ZWI0042-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-kenya,Drawing of the flag of Kenya,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0041-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0041_h.jpg?v=1526416048,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-kenya,,,,,,,,Web-Res .jpg,,,,,ZWI0041-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-japan,Drawing of the flag of Japan,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0040-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0040_h.jpg?v=1526416047,1,,false,,,,,,,,,,,,,,,,,lb,
drawing-of-the-flag-of-japan,,,,,,,,Web-Res .jpg,,,,,ZWI0040-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-italy,Flag of Italy,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0039-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0039_h.jpg?v=1526416045,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-italy,,,,,,,,Web-Res .jpg,,,,,ZWI0039-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
flag-of-israel,Flag of Israel,,Zoo Wire,Image,"",true,Title,Hi-Res .jpg,,,,,ZWI0038-HR,0,,1,deny,manual,2.00,,true,true,,https://cdn.shopify.com/s/files/1/1937/8695/products/zwi0038_h.jpg?v=1526416044,1,,false,,,,,,,,,,,,,,,,,lb,
flag-of-israel,,,,,,,,Web-Res .jpg,,,,,ZWI0038-Web,0,,1,deny,manual,1.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,
